timestamp,cycle,scale,modes_count,nodes_created,furcations_count,phase,frequency
2026-04-05T04:16:04.001449,2658,3.0,22284,49,38,2.180,3.333
2026-04-05T04:16:04.001449,2658,10.0,86010,55,41,0.204,1.000
2026-04-05T04:16:04.001449,2658,30.0,20088,51,44,1.627,0.333
2026-04-05T04:16:04.001449,2658,100.0,16622,51,39,2.529,0.100
2026-04-05T04:16:34.011905,3194,1.0,102703,47,53,4.715,10.000
2026-04-05T04:16:34.011905,3194,0.1,18002,57,49,5.570,10.000
2026-04-05T04:16:34.011905,3194,0.3,16690,66,48,4.737,10.000
2026-04-05T04:16:34.011905,3194,3.0,22284,53,45,3.549,3.333
2026-04-05T04:16:34.011905,3194,10.0,86010,62,56,1.872,1.000
2026-04-05T04:16:34.011905,3194,30.0,20088,67,52,4.277,0.333
2026-04-05T04:16:34.011905,3194,100.0,16622,63,52,5.209,0.100
2026-04-05T04:17:04.061458,3732,1.0,102703,56,65,3.538,10.000
2026-04-05T04:17:04.061458,3732,0.1,18002,67,61,4.393,10.000
2026-04-05T04:17:04.061458,3732,0.3,16690,71,56,3.560,10.000
2026-04-05T04:17:04.061458,3732,3.0,22284,64,52,5.251,3.333
2026-04-05T04:17:04.061458,3732,10.0,86010,70,65,3.639,1.000
2026-04-05T04:17:04.061458,3732,30.0,20088,76,60,0.678,0.333
2026-04-05T04:17:04.061458,3732,100.0,16622,75,68,1.616,0.100
2026-04-05T04:17:34.116448,4262,1.0,102703,64,76,4.644,10.000
2026-04-05T04:17:34.116448,4262,0.1,18002,73,70,5.499,10.000
2026-04-05T04:17:34.116448,4262,0.3,16690,79,65,4.666,10.000
2026-04-05T04:17:34.116448,4262,3.0,22284,74,60,5.620,3.333
2026-04-05T04:17:34.116448,4262,10.0,86010,78,70,5.006,1.000
2026-04-05T04:17:34.116448,4262,30.0,20088,88,67,3.228,0.333
2026-04-05T04:17:34.116448,4262,100.0,16622,81,77,4.266,0.100
2026-04-05T04:18:04.158977,4791,1.0,102703,77,87,5.250,10.000
2026-04-05T04:18:04.158977,4791,0.1,18002,82,78,6.105,10.000
2026-04-05T04:18:04.158977,4791,0.3,16690,91,73,5.272,10.000
2026-04-05T04:18:04.158977,4791,3.0,22284,87,64,5.822,3.333
2026-04-05T04:18:04.158977,4791,10.0,86010,92,78,0.040,1.000
2026-04-05T04:18:04.158977,4791,30.0,20088,96,78,5.761,0.333
2026-04-05T04:18:04.158977,4791,100.0,16622,88,87,0.628,0.100
2026-04-05T04:18:34.196961,5327,1.0,102703,84,99,3.073,10.000
2026-04-05T04:18:34.196961,5327,0.1,18002,90,89,3.928,10.000
2026-04-05T04:18:34.196961,5327,0.3,16690,104,77,3.095,10.000
2026-04-05T04:18:34.196961,5327,3.0,22284,96,75,0.907,3.333
2026-04-05T04:18:34.196961,5327,10.0,86010,100,84,1.707,1.000
2026-04-05T04:18:34.196961,5327,30.0,20088,105,92,2.128,0.333
2026-04-05T04:18:34.196961,5327,100.0,16622,95,94,3.308,0.100
2026-04-05T04:19:04.206904,5866,1.0,102703,91,113,2.396,10.000
2026-04-05T04:19:04.206904,5866,0.1,18002,92,96,3.251,10.000
2026-04-05T04:19:04.206904,5866,0.3,16690,115,86,2.418,10.000
2026-04-05T04:19:04.206904,5866,3.0,22284,103,90,2.776,3.333
2026-04-05T04:19:04.206904,5866,10.0,86010,105,94,3.525,1.000
2026-04-05T04:19:04.206904,5866,30.0,20088,120,103,4.828,0.333
2026-04-05T04:19:04.206904,5866,100.0,16622,106,105,6.003,0.100
